rules,support,confidence,lift,count,leverage,jaccard,,
"{FL=[10.4,13.6)} => {BD=[ 9.2,12.3)}",21.00%,93.33%,4.0579710145,42,0.15825,0.8571429,,
"{BD=[ 9.2,12.3)} => {FL=[10.4,13.6)}",21.00%,91.30%,4.0579710145,42,0.15825,0.8571429,,
"{BD=[15.4,18.5)} => {FL=[16.7,19.9)}",21.50%,86.00%,3.3725490196,43,0.15125,0.7413793,,
"{FL=[16.7,19.9)} => {BD=[15.4,18.5)}",21.50%,84.31%,3.3725490196,43,0.15125,0.7413793,,
"{CW=[39.6,47.1)} => {CL=[34.4,41.0)}",25.00%,92.59%,3.248862898,50,0.17305,0.8196721,,
"{CL=[34.4,41.0)} => {CW=[39.6,47.1)}",25.00%,87.72%,3.248862898,50,0.17305,0.8196721,,
"{FL=[13.6,16.7),CW=[32.1,39.6)} => {CL=[27.9,34.4)}",24.00%,100.00%,3.1746031746,48,0.1644,0.7619048,,
"{FL=[13.6,16.7),CW=[32.1,39.6),BD=[12.3,15.4)} => {CL=[27.9,34.4)}",22.50%,100.00%,3.1746031746,45,0.154125,0.7142857,,2.9041096724
"{BD=[15.4,18.5)} => {CL=[34.4,41.0)}",22.50%,90.00%,3.1578947368,45,0.15375,0.7258065,,
"{CL=[34.4,41.0)} => {BD=[15.4,18.5)}",22.50%,78.95%,3.1578947368,45,0.15375,0.7258065,,
"{CW=[32.1,39.6),BD=[12.3,15.4)} => {CL=[27.9,34.4)}",24.00%,97.96%,3.1098153547,48,0.162825,0.75,,
"{FL=[16.7,19.9)} => {CL=[34.4,41.0)}",21.00%,82.35%,2.8895768834,42,0.137325,0.6363636,,
"{FL=[13.6,16.7),CL=[27.9,34.4)} => {BD=[12.3,15.4)}",25.50%,94.44%,2.861952862,51,0.1659,0.7391304,,
"{CL=[27.9,34.4),BD=[12.3,15.4)} => {FL=[13.6,16.7)}",25.50%,94.44%,2.861952862,51,0.1659,0.7391304,,
"{FL=[13.6,16.7),CW=[32.1,39.6)} => {BD=[12.3,15.4)}",22.50%,93.75%,2.8409090909,45,0.1458,0.6521739,,
"{FL=[13.6,16.7),CL=[27.9,34.4),CW=[32.1,39.6)} => {BD=[12.3,15.4)}",22.50%,93.75%,2.8409090909,45,0.1458,0.6521739,,
"{CL=[27.9,34.4),CW=[32.1,39.6),BD=[12.3,15.4)} => {FL=[13.6,16.7)}",22.50%,93.75%,2.8409090909,45,0.1458,0.6521739,,
"{CW=[32.1,39.6),BD=[12.3,15.4)} => {FL=[13.6,16.7)}",22.50%,91.84%,2.7829313544,45,0.14415,0.6428571,,
"{CL=[27.9,34.4)} => {CW=[32.1,39.6)}",28.00%,88.89%,2.7777777778,56,0.1792,0.7887324,,
"{CW=[32.1,39.6)} => {CL=[27.9,34.4)}",28.00%,87.50%,2.7777777778,56,0.1792,0.7887324,,
"{FL=[13.6,16.7),CL=[27.9,34.4)} => {CW=[32.1,39.6)}",24.00%,88.89%,2.7777777778,48,0.1536,0.6857143,,
"{CL=[27.9,34.4),BD=[12.3,15.4)} => {CW=[32.1,39.6)}",24.00%,88.89%,2.7777777778,48,0.1536,0.6857143,,
"{FL=[13.6,16.7),CL=[27.9,34.4),BD=[12.3,15.4)} => {CW=[32.1,39.6)}",22.50%,88.24%,2.7573529412,45,0.1434,0.6428571,,
"{FL=[13.6,16.7),BD=[12.3,15.4)} => {CL=[27.9,34.4)}",25.50%,86.44%,2.7441485069,51,0.162075,0.7183099,,
"{FL=[13.6,16.7)} => {BD=[12.3,15.4)}",29.50%,89.39%,2.7089072544,59,0.1861,0.8082192,,
"{BD=[12.3,15.4)} => {FL=[13.6,16.7)}",29.50%,89.39%,2.7089072544,59,0.1861,0.8082192,,
"{CL=[27.9,34.4)} => {FL=[13.6,16.7)}",27.00%,85.71%,2.5974025974,54,0.16605,0.72,,
"{FL=[13.6,16.7)} => {CL=[27.9,34.4)}",27.00%,81.82%,2.5974025974,54,0.16605,0.72,,
"{CL=[27.9,34.4)} => {BD=[12.3,15.4)}",27.00%,85.71%,2.5974025974,54,0.16605,0.72,,
"{BD=[12.3,15.4)} => {CL=[27.9,34.4)}",27.00%,81.82%,2.5974025974,54,0.16605,0.72,,
"{CL=[27.9,34.4),CW=[32.1,39.6)} => {FL=[13.6,16.7)}",24.00%,85.71%,2.5974025974,48,0.1476,0.6486486,,
"{CL=[27.9,34.4),CW=[32.1,39.6)} => {BD=[12.3,15.4)}",24.00%,85.71%,2.5974025974,48,0.1476,0.6486486,,
"{FL=[13.6,16.7),BD=[12.3,15.4)} => {CW=[32.1,39.6)}",22.50%,76.27%,2.3834745763,45,0.1306,0.5769231,,
"{CW=[32.1,39.6)} => {BD=[12.3,15.4)}",24.50%,76.56%,2.3200757576,49,0.1394,0.6049383,,
"{CW=[32.1,39.6)} => {FL=[13.6,16.7)}",24.00%,75.00%,2.2727272727,48,0.1344,0.5853659,,
